"age","campaign_interest","vote_primary","vote_pres","right_track","ideology","govt_corrupt"
22,2,-1,-1,2,5,1
24,3,-1,-1,2,3,2
40,2,-1,-1,2,99,2
49,2,-1,-1,2,2,4
56,1,-1,1,2,4,4
59,1,-1,-1,2,6,2
63,1,-1,-1,1,7,4
73,1,1,-1,2,2,4
56,1,1,-1,2,3,4
41,1,8,-1,1,4,2
48,3,-1,-1,2,99,4
80,1,-1,-1,1,99,3
36,1,-1,-1,2,1,2
64,1,8,-1,1,4,4
28,3,-1,-1,2,6,2
21,1,-1,-1,2,3,4
61,2,-1,-1,2,5,3
65,1,1,-1,2,2,3
35,3,-1,-1,1,5,3
31,2,-1,-1,2,99,2
24,3,-1,-1,2,99,3
37,2,-1,-1,2,4,2
53,1,10,-1,2,4,2
34,2,5,-1,2,2,2
60,1,6,-1,2,4,4
66,1,-1,-1,2,4,4
70,1,8,-1,1,99,4
51,1,-1,-1,2,4,4
44,2,1,-1,2,4,3
60,2,1,-1,2,4,4
34,1,-1,-1,2,7,3
53,1,-1,-1,1,6,3
37,1,-1,-1,2,2,3
56,2,-1,-1,2,4,2
46,2,-1,-1,2,2,3
38,2,6,1,2,3,2
63,1,-1,-1,2,3,4
29,3,-1,-1,2,2,3
41,2,1,-1,2,99,2
54,2,-1,-1,2,4,1
79,1,8,-1,2,7,3
31,2,-1,-1,1,4,3
50,1,8,-1,1,6,2
64,1,-1,-1,2,2,4
80,2,1,1,2,5,3
60,1,1,-1,2,4,2
28,1,-1,-1,2,3,2
46,2,-1,-1,2,99,3
66,1,1,-1,2,2,3
63,1,10,-1,2,99,2
38,2,-1,-1,2,4,4
59,1,8,-1,2,6,2
64,1,10,-1,2,6,4
72,1,-1,-1,2,7,4
68,1,5,-1,2,1,3
28,2,-1,-1,1,4,3
27,3,-1,-1,2,2,2
62,1,1,-1,2,2,3
70,2,-1,-1,1,5,3
29,2,-1,-1,2,2,4
62,1,1,-1,1,99,3
60,2,-1,-1,2,99,4
69,1,8,-1,2,6,2
58,1,1,-1,2,4,2
47,1,8,-1,2,5,2
53,1,8,-1,1,4,3
72,2,-1,-1,2,99,4
35,1,-1,-1,2,2,2
62,2,8,-1,2,7,2
73,1,1,-1,2,2,3
28,1,-1,-1,1,7,2
57,1,8,-1,1,4,4
29,2,-1,-1,2,5,2
39,1,5,-1,2,3,4
55,2,-1,-1,2,2,2
42,1,-1,-1,2,4,2
67,1,8,-1,2,7,3
58,1,8,-1,1,6,4
67,2,-1,-1,1,6,3
58,1,8,-1,2,7,3
25,1,3,-1,2,2,3
73,3,-1,-1,2,2,2
30,3,-1,-1,2,99,2
38,2,8,-1,1,7,3
64,1,-1,-1,1,6,3
40,1,-1,-1,2,3,4
-9,3,-1,-1,2,5,3
51,2,-1,-1,2,6,2
61,2,-1,-1,2,99,3
59,1,1,-1,2,2,3
58,1,1,-1,2,4,2
